dni,nombre,correo,codigo_asig,nota
12345678A,Ana López,ana.lopez@uji.es,EI1001,8.5
12345678A,Ana López,ana.lopez@uji.es,MAT1001,7.8
12345678A,Ana López,ana.lopez@uji.es,FIS1001,8.1
12345678A,Ana López,ana.lopez@uji.es,IND1002,7.4
12345678A,Ana López,ana.lopez@uji.es,QUI1001,6.9
23456789B,Juan Pérez,juan.perez@uji.es,ADE1001,6.2
23456789B,Juan Pérez,juan.perez@uji.es,DER1001,5.9
23456789B,Juan Pérez,juan.perez@uji.es,MAT1001,4.8
23456789B,Juan Pérez,juan.perez@uji.es,PSI1001,6.5
23456789B,Juan Pérez,juan.perez@uji.es,BIO1001,7.1
34567890C,María Torres,maria.torres@uji.es,PSI1001,8.7
34567890C,María Torres,maria.torres@uji.es,BIO1001,7.9
34567890C,María Torres,maria.torres@uji.es,QUI1001,8.2
34567890C,María Torres,maria.torres@uji.es,MAT1001,6.4
34567890C,María Torres,maria.torres@uji.es,FIS1001,7.0
45678901D,Carlos Ruiz,carlos.ruiz@uji.es,IME1001,6.8
45678901D,Carlos Ruiz,carlos.ruiz@uji.es,IND1002,7.2
45678901D,Carlos Ruiz,carlos.ruiz@uji.es,MAT1001,5.5
45678901D,Carlos Ruiz,carlos.ruiz@uji.es,FIS1001,6.9
45678901D,Carlos Ruiz,carlos.ruiz@uji.es,EI1001,7.3
56789012E,Laura Martínez,laura.martinez@uji.es,ADE1001,9.1
56789012E,Laura Martínez,laura.martinez@uji.es,DER1001,8.3
56789012E,Laura Martínez,laura.martinez@uji.es,PSI1001,7.6
56789012E,Laura Martínez,laura.martinez@uji.es,MAT1001,8.4
56789012E,Laura Martínez,laura.martinez@uji.es,BIO1001,7.9
67890123F,Pablo Navarro,pablo.navarro@uji.es,EI1001,5.4
67890123F,Pablo Navarro,pablo.navarro@uji.es,MAT1001,6.0
67890123F,Pablo Navarro,pablo.navarro@uji.es,FIS1001,5.7
67890123F,Pablo Navarro,pablo.navarro@uji.es,IND1002,6.2
67890123F,Pablo Navarro,pablo.navarro@uji.es,IME1001,6.5
78901234G,Sofía Gil,sofia.gil@uji.es,QUI1001,9.0
78901234G,Sofía Gil,sofia.gil@uji.es,BIO1001,8.6
78901234G,Sofía Gil,sofia.gil@uji.es,PSI1001,8.8
78901234G,Sofía Gil,sofia.gil@uji.es,MAT1001,7.5
78901234G,Sofía Gil,sofia.gil@uji.es,FIS1001,8.1
89012345H,Diego Castillo,diego.castillo@uji.es,IME1001,6.7
89012345H,Diego Castillo,diego.castillo@uji.es,IND1002,7.0
89012345H,Diego Castillo,diego.castillo@uji.es,MAT1001,6.3
89012345H,Diego Castillo,diego.castillo@uji.es,FIS1001,5.9
89012345H,Diego Castillo,diego.castillo@uji.es,EI1001,6.8
90123456J,Lucía Herrera,lucia.herrera@uji.es,DER1001,8.4
90123456J,Lucía Herrera,lucia.herrera@uji.es,ADE1001,7.7
90123456J,Lucía Herrera,lucia.herrera@uji.es,PSI1001,7.2
90123456J,Lucía Herrera,lucia.herrera@uji.es,BIO1001,6.9
90123456J,Lucía Herrera,lucia.herrera@uji.es,QUI1001,7.8
11223344K,Adrián Vega,adrian.vega@uji.es,EI1001,7.1
11223344K,Adrián Vega,adrian.vega@uji.es,MAT1001,6.8
11223344K,Adrián Vega,adrian.vega@uji.es,FIS1001,7.4
11223344K,Adrián Vega,adrian.vega@uji.es,IME1001,6.6
11223344K,Adrián Vega,adrian.vega@uji.es,IND1002,7.0
